bucket,resume_id,jd_hash,label,label_source,kw_raw,skill_raw,ngram_raw,edu_raw,seniority_raw,cosine_blended,whole_doc_cos_raw,exp_cos_raw,final_score,jd_excerpt,signal_diagnosis,failure_mode,notes
low_score_good_label,73d86d9f-2470-457e-b204-63649e0cc91f,325092716aaab940,good,implicit,0.1538,0.5,1.0,1.0,1.0,0.1496,0.2042,0.0951,40,"Senior Financial Analyst & Corporate Accountant Location: Hyderabad, India (In-Office)  Experience Level: 5+ Years  About the Role We are seeking an experienced Senior Financial Analyst & Corporate Ac",low_score_good_label,,
low_score_good_label,73d86d9f-2470-457e-b204-63649e0cc91f,325092716aaab940,good,implicit,0.1538,0.5,1.0,1.0,1.0,0.1496,0.2042,0.0951,40,"Senior Financial Analyst & Corporate Accountant Location: Hyderabad, India (In-Office)  Experience Level: 5+ Years  About the Role We are seeking an experienced Senior Financial Analyst & Corporate Ac",low_score_good_label,,
low_score_good_label,d4d70f71-78ad-43e0-8ab9-ffae60dcc3fa,62f92f0c52199d37,good,implicit,0.0,0.5,0.0,1.0,1.0,0.1407,0.2813,0.0,23,"We are looking for a skilled and detail-oriented Research Paper Writer to prepare high-quality academic and research-based content. The candidate should be able to conduct literature reviews, analyse ",low_score_good_label,,
low_score_good_label,d4d70f71-78ad-43e0-8ab9-ffae60dcc3fa,62f92f0c52199d37,good,implicit,0.0,0.5,0.0,1.0,1.0,0.1407,0.2813,0.0,23,"We are looking for a skilled and detail-oriented Research Paper Writer to prepare high-quality academic and research-based content. The candidate should be able to conduct literature reviews, analyse ",low_score_good_label,,
low_score_good_label,d4d70f71-78ad-43e0-8ab9-ffae60dcc3fa,62f92f0c52199d37,good,implicit,0.0,0.5,0.0,1.0,1.0,0.1407,0.2813,0.0,23,"We are looking for a skilled and detail-oriented Research Paper Writer to prepare high-quality academic and research-based content. The candidate should be able to conduct literature reviews, analyse ",low_score_good_label,,
low_score_good_label,e22b1791-8da2-4bdc-a715-8015e95c2046,7c42f4fb5bf63823,good,implicit,0.3125,0.75,0.0,0.5,1.0,0.2409,0.2755,0.2063,41,Job Summary  We are looking for a skilled and detail-oriented Research Paper Writer to prepare high-quality academic and research-based content. The candidate should be able to conduct literature revi,low_score_good_label,,
low_score_good_label,e22b1791-8da2-4bdc-a715-8015e95c2046,7c42f4fb5bf63823,good,implicit,0.3125,0.75,0.0,0.5,1.0,0.2409,0.2755,0.2063,41,Job Summary  We are looking for a skilled and detail-oriented Research Paper Writer to prepare high-quality academic and research-based content. The candidate should be able to conduct literature revi,low_score_good_label,,
low_score_good_label,e22b1791-8da2-4bdc-a715-8015e95c2046,7c42f4fb5bf63823,good,implicit,0.3125,0.75,0.0,0.5,1.0,0.2409,0.2755,0.2063,41,Job Summary  We are looking for a skilled and detail-oriented Research Paper Writer to prepare high-quality academic and research-based content. The candidate should be able to conduct literature revi,low_score_good_label,,
low_score_good_label,a8e62fec-b6b3-4a96-8d05-a70163631f76,8581dce54751e602,good,implicit,0.0,1.0,1.0,1.0,1.0,0.0937,0.0982,0.0892,37,"""C:\Users\vamsh\Downloads\Tailored_Resume (3).pdf""",low_score_good_label,,
low_score_good_label,a8e62fec-b6b3-4a96-8d05-a70163631f76,8581dce54751e602,good,implicit,0.0,1.0,1.0,1.0,1.0,0.0937,0.0982,0.0892,37,"""C:\Users\vamsh\Downloads\Tailored_Resume (3).pdf""",low_score_good_label,,
low_score_good_label,a8e62fec-b6b3-4a96-8d05-a70163631f76,8581dce54751e602,good,implicit,0.0,1.0,1.0,1.0,1.0,0.0937,0.0982,0.0892,37,"""C:\Users\vamsh\Downloads\Tailored_Resume (3).pdf""",low_score_good_label,,
floor_no_ceiling_reason,5eac9e08-bbe2-4f14-8faf-75a3bf99a261,c489d46a470d66b8,bad,llm,0.0357,0.0,0.0,1.0,1.0,0.7983,0.7983,0.0,36,Job Title: Data Analyst  We are a fast-growing direct-to-consumer lifestyle brand leveraging data to optimize our multi-channel customer journeys and inventory forecasting models. You will serve as th,floor_no_ceiling_reason,,
floor_no_ceiling_reason,5eac9e08-bbe2-4f14-8faf-75a3bf99a261,f4b0dd544f11bfa8,bad,llm,0.0,0.0,0.0,1.0,1.0,0.8264,0.8264,0.0,36,Job Title: Senior Data Engineer  We are a global fintech organization that processes billions of transactional events daily to instantly detect fraudulent activity and assess credit risk. You will be ,floor_no_ceiling_reason,,
floor_no_ceiling_reason,5eac9e08-bbe2-4f14-8faf-75a3bf99a261,fbb8d6874a197ee4,bad,llm,0.0,0.0,0.0,1.0,1.0,0.7825,0.7825,0.0,35,"Job Title: Junior Frontend Developer  We are a fast-growing e-commerce startup building the next generation of online retail experiences, focusing on personalized shopping journeys and seamless checko",floor_no_ceiling_reason,,
floor_no_ceiling_reason,5eac9e08-bbe2-4f14-8faf-75a3bf99a261,93332a1bf429ae28,bad,llm,0.0,0.0,0.0,1.0,1.0,0.8004,0.8004,0.0,35,Job Title: Full Stack Engineer  We are an established B2B SaaS platform optimizing supply chain logistics and inventory tracking for enterprise clients across North America. We are looking for a versa,floor_no_ceiling_reason,,
floor_no_ceiling_reason,5eac9e08-bbe2-4f14-8faf-75a3bf99a261,27f0f933705c8220,bad,llm,0.0,0.0,0.0,0.3,1.0,1.0,1.0,0.0,36,"Job Title: AI Engineer, LLMs  We are a Series B enterprise software company revolutionizing customer support workflow orchestration through generative artificial intelligence. You will spearhead the d",floor_no_ceiling_reason,,
floor_no_ceiling_reason,,a0df1ac6af5aa940,,,0.0476,0.0,0.0,1.0,1.0,1.0,1.0,0.0,41,"Job Title: Senior Backend Engineer  We are a leading healthtech company providing secure, scalable data infrastructure for healthcare providers globally, enabling them to share patient data securely. ",floor_no_ceiling_reason,,
floor_no_ceiling_reason,,a0df1ac6af5aa940,,,0.0476,0.0,0.0,1.0,1.0,1.0,1.0,0.0,41,"Job Title: Senior Backend Engineer  We are a leading healthtech company providing secure, scalable data infrastructure for healthcare providers globally, enabling them to share patient data securely. ",floor_no_ceiling_reason,,
floor_no_ceiling_reason,,c489d46a470d66b8,,,0.0357,0.0,0.0,1.0,1.0,0.9428,0.9428,0.0,40,Job Title: Data Analyst  We are a fast-growing direct-to-consumer lifestyle brand leveraging data to optimize our multi-channel customer journeys and inventory forecasting models. You will serve as th,floor_no_ceiling_reason,,
floor_no_ceiling_reason,,c489d46a470d66b8,,,0.0357,0.0,0.0,1.0,1.0,1.0,1.0,0.0,41,Job Title: Data Analyst  We are a fast-growing direct-to-consumer lifestyle brand leveraging data to optimize our multi-channel customer journeys and inventory forecasting models. You will serve as th,floor_no_ceiling_reason,,
floor_no_ceiling_reason,,f4b0dd544f11bfa8,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,40,Job Title: Senior Data Engineer  We are a global fintech organization that processes billions of transactional events daily to instantly detect fraudulent activity and assess credit risk. You will be ,floor_no_ceiling_reason,,
floor_no_ceiling_reason,73d86d9f-2470-457e-b204-63649e0cc91f,325092716aaab940,good,implicit,0.1538,0.5,1.0,1.0,1.0,0.1496,0.2042,0.0951,40,"Senior Financial Analyst & Corporate Accountant Location: Hyderabad, India (In-Office)  Experience Level: 5+ Years  About the Role We are seeking an experienced Senior Financial Analyst & Corporate Ac",floor_no_ceiling_reason,,
floor_no_ceiling_reason,73d86d9f-2470-457e-b204-63649e0cc91f,325092716aaab940,good,implicit,0.1538,0.5,1.0,1.0,1.0,0.1496,0.2042,0.0951,40,"Senior Financial Analyst & Corporate Accountant Location: Hyderabad, India (In-Office)  Experience Level: 5+ Years  About the Role We are seeking an experienced Senior Financial Analyst & Corporate Ac",floor_no_ceiling_reason,,
floor_no_ceiling_reason,73d86d9f-2470-457e-b204-63649e0cc91f,325092716aaab940,good,implicit,0.1538,0.5,1.0,1.0,1.0,0.1496,0.2042,0.0951,40,"Senior Financial Analyst & Corporate Accountant Location: Hyderabad, India (In-Office)  Experience Level: 5+ Years  About the Role We are seeking an experienced Senior Financial Analyst & Corporate Ac",floor_no_ceiling_reason,,
floor_no_ceiling_reason,73d86d9f-2470-457e-b204-63649e0cc91f,325092716aaab940,good,implicit,0.1538,0.5,1.0,1.0,1.0,0.1496,0.2042,0.0951,40,"Senior Financial Analyst & Corporate Accountant Location: Hyderabad, India (In-Office)  Experience Level: 5+ Years  About the Role We are seeking an experienced Senior Financial Analyst & Corporate Ac",floor_no_ceiling_reason,,
floor_no_ceiling_reason,73d86d9f-2470-457e-b204-63649e0cc91f,325092716aaab940,good,implicit,0.1538,0.5,1.0,1.0,1.0,0.1496,0.2042,0.0951,40,"Senior Financial Analyst & Corporate Accountant Location: Hyderabad, India (In-Office)  Experience Level: 5+ Years  About the Role We are seeking an experienced Senior Financial Analyst & Corporate Ac",floor_no_ceiling_reason,,
floor_no_ceiling_reason,e22b1791-8da2-4bdc-a715-8015e95c2046,7c42f4fb5bf63823,good,implicit,0.3125,0.75,0.0,0.5,1.0,0.2409,0.2755,0.2063,41,Job Summary  We are looking for a skilled and detail-oriented Research Paper Writer to prepare high-quality academic and research-based content. The candidate should be able to conduct literature revi,floor_no_ceiling_reason,,
floor_no_ceiling_reason,e22b1791-8da2-4bdc-a715-8015e95c2046,7c42f4fb5bf63823,good,implicit,0.3125,0.75,0.0,0.5,1.0,0.2409,0.2755,0.2063,41,Job Summary  We are looking for a skilled and detail-oriented Research Paper Writer to prepare high-quality academic and research-based content. The candidate should be able to conduct literature revi,floor_no_ceiling_reason,,
floor_no_ceiling_reason,e22b1791-8da2-4bdc-a715-8015e95c2046,7c42f4fb5bf63823,good,implicit,0.3125,0.75,0.0,0.5,1.0,0.2409,0.2755,0.2063,41,Job Summary  We are looking for a skilled and detail-oriented Research Paper Writer to prepare high-quality academic and research-based content. The candidate should be able to conduct literature revi,floor_no_ceiling_reason,,
floor_no_ceiling_reason,a8e62fec-b6b3-4a96-8d05-a70163631f76,8581dce54751e602,good,implicit,0.0,1.0,1.0,1.0,1.0,0.0937,0.0982,0.0892,37,"""C:\Users\vamsh\Downloads\Tailored_Resume (3).pdf""",floor_no_ceiling_reason,,
floor_no_ceiling_reason,a8e62fec-b6b3-4a96-8d05-a70163631f76,8581dce54751e602,good,implicit,0.0,1.0,1.0,1.0,1.0,0.0937,0.0982,0.0892,37,"""C:\Users\vamsh\Downloads\Tailored_Resume (3).pdf""",floor_no_ceiling_reason,,
floor_no_ceiling_reason,a8e62fec-b6b3-4a96-8d05-a70163631f76,8581dce54751e602,good,implicit,0.0,1.0,1.0,1.0,1.0,0.0937,0.0982,0.0892,37,"""C:\Users\vamsh\Downloads\Tailored_Resume (3).pdf""",floor_no_ceiling_reason,,
floor_no_ceiling_reason,6a4359f9-5b97-4690-96fb-aa34f727377f,c84df658bba245e8,bad,implicit,0.0,1.0,1.0,1.0,1.0,0.1849,0.2272,0.1426,40,"Tailor your resume to this JD  Review per-section edit suggestions, accept the ones that fit, and download a tailored copy.  Open tailor flow",floor_no_ceiling_reason,,
high_cosine_zero_kw,5eac9e08-bbe2-4f14-8faf-75a3bf99a261,a0df1ac6af5aa940,bad,llm,0.0,0.0,0.0,1.0,1.0,0.8868,0.8868,0.0,37,"Job Title: Senior Backend Engineer  We are a leading healthtech company providing secure, scalable data infrastructure for healthcare providers globally, enabling them to share patient data securely. ",high_cosine_zero_kw,,
high_cosine_zero_kw,5eac9e08-bbe2-4f14-8faf-75a3bf99a261,d2fa341f65ed0219,bad,llm,0.0,0.0,1.0,1.0,1.0,0.9616,0.9616,0.0,49,"Job Title: Product Designer  We are a well-funded, innovative edtech platform systematically transforming how university students seamlessly access study materials and collaborate in real-time online.",high_cosine_zero_kw,,
high_cosine_zero_kw,5eac9e08-bbe2-4f14-8faf-75a3bf99a261,27f0f933705c8220,bad,llm,0.0,0.0,0.0,0.3,1.0,1.0,1.0,0.0,36,"Job Title: AI Engineer, LLMs  We are a Series B enterprise software company revolutionizing customer support workflow orchestration through generative artificial intelligence. You will spearhead the d",high_cosine_zero_kw,,
high_cosine_zero_kw,5eac9e08-bbe2-4f14-8faf-75a3bf99a261,b41af77d86b58c91,bad,llm,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,40,"Job Title: Machine Learning Engineer  We are an autonomous vehicle startup focused on creating advanced perception systems for heavy industrial environments, ports, and logistics hubs. You will be ins",high_cosine_zero_kw,,
high_cosine_zero_kw,,a0df1ac6af5aa940,,,0.0476,0.0,0.0,1.0,1.0,1.0,1.0,0.0,41,"Job Title: Senior Backend Engineer  We are a leading healthtech company providing secure, scalable data infrastructure for healthcare providers globally, enabling them to share patient data securely. ",high_cosine_zero_kw,,
high_cosine_zero_kw,,a0df1ac6af5aa940,,,0.0476,0.0,0.0,1.0,1.0,1.0,1.0,0.0,41,"Job Title: Senior Backend Engineer  We are a leading healthtech company providing secure, scalable data infrastructure for healthcare providers globally, enabling them to share patient data securely. ",high_cosine_zero_kw,,
high_cosine_zero_kw,,a0df1ac6af5aa940,,,0.0,0.2,0.0,1.0,1.0,1.0,1.0,0.0,44,"Job Title: Senior Backend Engineer  We are a leading healthtech company providing secure, scalable data infrastructure for healthcare providers globally, enabling them to share patient data securely. ",high_cosine_zero_kw,,
high_cosine_zero_kw,,c489d46a470d66b8,,,0.0357,0.0,0.0,1.0,1.0,0.9428,0.9428,0.0,40,Job Title: Data Analyst  We are a fast-growing direct-to-consumer lifestyle brand leveraging data to optimize our multi-channel customer journeys and inventory forecasting models. You will serve as th,high_cosine_zero_kw,,
high_cosine_zero_kw,,c489d46a470d66b8,,,0.0357,0.0,0.0,1.0,1.0,1.0,1.0,0.0,41,Job Title: Data Analyst  We are a fast-growing direct-to-consumer lifestyle brand leveraging data to optimize our multi-channel customer journeys and inventory forecasting models. You will serve as th,high_cosine_zero_kw,,
high_cosine_zero_kw,16cf5a23-4251-4a52-a11c-3503b9fa4120,d2fa341f65ed0219,bad,implicit,0.0882,0.8,1.0,1.0,1.0,1.0,1.0,1.0,70,"Job Title: Product Designer  We are a well-funded, innovative edtech platform systematically transforming how university students seamlessly access study materials and collaborate in real-time online.",high_cosine_zero_kw,,
high_cosine_zero_kw,16cf5a23-4251-4a52-a11c-3503b9fa4120,03032fcbfa879876,bad,llm,0.0882,0.9286,0.0,1.0,1.0,1.0,1.0,1.0,62,"Job Title: Growth Marketing Manager  We are a rapidly expanding consumer subscription application focused on personal wellness, habit formation, and mental health tracking. You will completely own the",high_cosine_zero_kw,,
high_cosine_zero_kw,16cf5a23-4251-4a52-a11c-3503b9fa4120,cee8ff7a4b5f3e8c,bad,llm,0.0,0.8125,0.0,1.0,1.0,1.0,1.0,1.0,58,"Job Title: Junior iOS Developer  We are an award-winning digital product agency creating high-impact, award-winning mobile experiences for top-tier retail and luxury brands. You will join our collabor",high_cosine_zero_kw,,
high_cosine_zero_kw,8f01e655-adb2-44e6-9b4b-88168c6ed37e,da0dde82ea9194c3,bad,llm,0.08,0.75,1.0,0.75,1.0,1.0,1.0,1.0,68,Job Title: Director of FP&A  We are a scaling global SaaS company providing mission-critical enterprise resource planning software directly to the advanced manufacturing industry. You will build and l,high_cosine_zero_kw,,
high_cosine_zero_kw,408202a3-0490-490c-ace9-952a2db4b190,da0dde82ea9194c3,bad,implicit,0.0,0.75,1.0,0.75,1.0,1.0,1.0,1.0,66,Job Title: Director of FP&A  We are a scaling global SaaS company providing mission-critical enterprise resource planning software directly to the advanced manufacturing industry. You will build and l,high_cosine_zero_kw,,
high_cosine_zero_kw,408202a3-0490-490c-ace9-952a2db4b190,b41af77d86b58c91,bad,llm,0.05,0.4091,0.2,1.0,1.0,1.0,1.0,1.0,52,"Job Title: Machine Learning Engineer  We are an autonomous vehicle startup focused on creating advanced perception systems for heavy industrial environments, ports, and logistics hubs. You will be ins",high_cosine_zero_kw,,
high_cosine_zero_kw,408202a3-0490-490c-ace9-952a2db4b190,cee8ff7a4b5f3e8c,bad,llm,0.0714,0.8125,0.0,1.0,1.0,1.0,1.0,1.0,60,"Job Title: Junior iOS Developer  We are an award-winning digital product agency creating high-impact, award-winning mobile experiences for top-tier retail and luxury brands. You will join our collabor",high_cosine_zero_kw,,
